15/12/2016 10:24:21 ;2; 2.pbm
15/12/2016 10:24:34 ;2; 2.pbm
15/12/2016 10:24:35 ;2; 1.pbm
15/12/2016 10:24:36 ;2; 3.pbm
15/12/2016 10:24:36 ;2; 3.pbm
15/12/2016 10:25:05 ;2; 0.pbm
15/12/2016 10:25:05 ;1; 0.pbm
15/12/2016 10:25:05 ;1; 0.pbm
15/12/2016 10:25:05 ;1; 0.pbm
15/12/2016 10:25:05 ;1; 0.pbm
15/12/2016 10:25:05 ;3; 0.pbm
15/12/2016 17:06:51 ;1; 5.pbm
15/12/2016 17:06:51 ;1; 5.pbm
15/12/2016 17:07:36 ;1; 5.pbm
15/12/2016 17:07:36 ;1; 5.pbm
15/12/2016 17:13:05 ;2; 0.pbm
15/12/2016 17:14:30 ;2; 0.pbm
15/12/2016 17:14:34 ;2; 0.pbm
15/12/2016 17:14:36 ;1; 1.pbm
15/12/2016 17:14:36 ;1; 1.pbm
15/12/2016 17:15:37 ;2; 0.pbm
15/12/2016 17:16:34 ;2; 0.pbm
15/12/2016 17:16:37 ;1; 7.pbm
15/12/2016 17:16:37 ;1; 7.pbm
15/12/2016 17:18:35 ;1; 7.pbm
15/12/2016 17:20:17 ;1; 1.pbm
15/12/2016 17:21:29 ;2; 0.pbm
15/12/2016 17:21:31 ;2; 0.pbm
15/12/2016 17:21:33 ;1; 5.pbm
15/12/2016 17:22:31 ;2; 0.pbm
15/12/2016 17:22:33 ;2; 0.pbm
15/12/2016 17:22:34 ;1; 1.pbm
15/12/2016 17:23:11 ;2; 0.pbm
15/12/2016 17:23:15 ;1; 3.pbm
